Date;1788 - Monetary base - Monetary base (end-of-period balance) - c.m.u. (thousand);1833 - Extended monetary base (end-of-period balance) - c.m.u. (thousand)
03/1964;1,453,800,000 ;-
04/1964;1,535,400,000 ;-
05/1964;1,569,500,000 ;-
06/1964;1,654,800,000 ;-
07/1964;1,753,800,000 ;-
08/1964;1,935,600,000 ;-
09/1964;1,915,500,000 ;-
10/1964;1,959,000,000 ;-
11/1964;2,045,000,000 ;-
12/1964;2,312,700,000 ;-
01/1965;2,254,700,000 ;-
02/1965;2,230,600,000 ;-
03/1965;2,459,100,000 ;-
04/1965;2,489,000,000 ;-
05/1965;2,677,400,000 ;-
06/1965;2,784,900,000 ;-
07/1965;2,927,300,000 ;-
08/1965;3,079,000,000 ;-
09/1965;3,226,000,000 ;-
10/1965;3,443,500,000 ;-
11/1965;3,479,400,000 ;-
12/1965;3,844,000,000 ;-
01/1966;3,831,100,000 ;-
02/1966;3,768,100,000 ;-
03/1966;3,733,500,000 ;-
04/1966;3,777,100,000 ;-
05/1966;3,906,700,000 ;-
06/1966;3,942,500,000 ;-
07/1966;3,948,200,000 ;-
08/1966;4,013,400,000 ;-
09/1966;4,150,000,000 ;-
10/1966;4,197,300,000 ;-
11/1966;4,346,100,000 ;-
12/1966;4,761,100,000 ;-
01/1967;4,630,500,000 ;-
02/1967;4,844,600 ;-
03/1967;5,145,000 ;-
04/1967;4,979,100 ;-
05/1967;5,066,000 ;-
06/1967;5,188,500 ;-
07/1967;5,281,600 ;-
08/1967;5,246,000 ;-
09/1967;5,550,300 ;-
10/1967;5,511,800 ;-
11/1967;5,756,300 ;-
12/1967;6,095,400 ;-
01/1968;6,167,900 ;-
02/1968;6,311,300 ;-
03/1968;6,674,500 ;-
04/1968;6,787,200 ;-
05/1968;6,856,100 ;-
06/1968;7,139,200 ;-
07/1968;7,012,800 ;-
08/1968;7,019,200 ;-
09/1968;7,146,800 ;-
10/1968;7,112,600 ;-
11/1968;7,614,700 ;-
12/1968;8,619,100 ;-
01/1969;7,935,800 ;-
02/1969;8,260,100 ;-
03/1969;8,188,900 ;-
04/1969;8,371,200 ;-
05/1969;8,490,600 ;-
06/1969;8,455,000 ;-
07/1969;8,370,100 ;-
08/1969;8,400,000 ;-
09/1969;8,436,200 ;-
10/1969;8,850,300 ;-
11/1969;9,200,600 ;-
12/1969;10,639,200 ;-
01/1970;9,866,000 ;-
02/1970;9,773,000 ;-
03/1970;9,471,000 ;-
04/1970;9,594,000 ;-
05/1970;9,927,000 ;-
06/1970;10,391,000 ;-
07/1970;10,275,000 ;-
08/1970;10,235,000 ;-
09/1970;10,190,000 ;-
10/1970;10,646,000 ;-
11/1970;10,889,000 ;-
12/1970;12,361,000 ;-
01/1971;11,641,000 ;-
02/1971;11,698,000 ;-
03/1971;11,335,000 ;-
04/1971;11,955,000 ;-
05/1971;12,412,000 ;-
06/1971;12,990,000 ;-
07/1971;12,774,000 ;-
08/1971;13,146,000 ;-
09/1971;13,191,000 ;-
10/1971;13,493,000 ;-
11/1971;14,683,000 ;-
12/1971;16,603,000 ;-
01/1972;15,989,000 ;-
02/1972;15,725,000 ;-
03/1972;15,730,000 ;-
04/1972;16,341,000 ;-
05/1972;17,372,000 ;-
06/1972;17,624,000 ;-
07/1972;17,908,000 ;-
08/1972;15,058,000 ;-
09/1972;15,634,000 ;-
10/1972;16,142,000 ;-
11/1972;16,656,000 ;-
12/1972;20,023,000 ;-
01/1973;19,715,000 ;-
02/1973;19,517,000 ;-
03/1973;19,739,000 ;-
04/1973;20,952,000 ;-
05/1973;21,844,000 ;-
06/1973;23,871,000 ;-
07/1973;23,912,000 ;-
08/1973;22,413,000 ;-
09/1973;23,109,000 ;-
10/1973;24,411,000 ;-
11/1973;24,863,000 ;-
12/1973;28,217,000 ;-
01/1974;27,449,000 ;-
02/1974;28,105,000 ;-
03/1974;27,289,000 ;-
04/1974;28,309,000 ;-
05/1974;28,294,000 ;-
06/1974;29,326,000 ;-
07/1974;28,863,000 ;-
08/1974;28,061,000 ;-
09/1974;28,295,000 ;-
10/1974;27,730,000 ;-
11/1974;30,450,000 ;-
12/1974;36,908,000 ;-
01/1975;31,713,000 ;-
02/1975;30,528,000 ;-
03/1975;32,168,000 ;-
04/1975;32,128,000 ;-
05/1975;32,033,000 ;-
06/1975;34,659,000 ;-
07/1975;35,720,000 ;-
08/1975;35,810,000 ;-
09/1975;36,910,000 ;-
10/1975;37,812,000 ;-
11/1975;40,937,000 ;-
12/1975;49,955,000 ;-
01/1976;46,858,000 ;-
02/1976;44,990,000 ;-
03/1976;44,205,000 ;-
04/1976;45,428,000 ;-
05/1976;46,600,000 ;-
06/1976;51,317,000 ;-
07/1976;55,473,000 ;-
08/1976;58,204,000 ;-
09/1976;59,879,000 ;-
10/1976;62,051,000 ;-
11/1976;67,853,000 ;-
12/1976;79,484,000 ;-
01/1977;83,988,000 ;-
02/1977;80,921,000 ;-
03/1977;79,046,000 ;-
04/1977;83,700,000 ;-
05/1977;87,705,000 ;-
06/1977;93,623,000 ;-
07/1977;100,395,000 ;-
08/1977;100,359,000 ;-
09/1977;102,093,000 ;-
10/1977;106,718,000 ;-
11/1977;113,588,000 ;-
12/1977;129,843,000 ;-
01/1978;128,034,000 ;-
02/1978;123,408,000 ;-
03/1978;122,218,000 ;-
04/1978;130,819,000 ;-
05/1978;133,935,000 ;-
06/1978;137,938,000 ;-
07/1978;147,439,000 ;-
08/1978;152,822,000 ;-
09/1978;159,218,000 ;-
10/1978;168,387,000 ;-
11/1978;175,019,000 ;-
12/1978;193,669,000 ;-
01/1979;196,694,000 ;-
02/1979;202,309,000 ;-
03/1979;199,266,000 ;-
04/1979;202,374,000 ;-
05/1979;207,102,000 ;-
06/1979;215,106,000 ;-
07/1979;229,711,000 ;-
08/1979;237,372,000 ;-
09/1979;251,087,000 ;-
10/1979;268,243,000 ;-
11/1979;292,706,000 ;-
12/1979;366,247,000 ;-
01/1980;339,824,000 ;-
02/1980;323,939,000 ;-
03/1980;337,933,000 ;-
04/1980;364,959,000 ;-
05/1980;372,738,000 ;-
06/1980;416,236,000 ;-
07/1980;439,890,000 ;-
08/1980;446,615,000 ;-
09/1980;459,175,000 ;-
10/1980;468,517,000 ;-
11/1980;512,562,000 ;-
12/1980;580,353,000 ;-
01/1981;580,291,000 ;-
02/1981;574,021,000 ;-
03/1981;573,731,000 ;-
04/1981;565,801,000 ;-
05/1981;597,848,000 ;-
06/1981;646,193,000 ;-
07/1981;689,100,000 ;-
08/1981;714,335,000 ;-
09/1981;739,984,000 ;-
10/1981;767,684,000 ;-
11/1981;862,272,000 ;-
12/1981;970,535,000 ;-
01/1982;1,070,000,000 ;-
02/1982;1,035,000,000 ;-
03/1982;1,089,000,000 ;-
04/1982;1,050,000,000 ;-
05/1982;1,121,000,000 ;-
06/1982;1,220,000,000 ;-
07/1982;1,298,000,000 ;-
08/1982;1,334,000,000 ;-
09/1982;1,356,000,000 ;-
10/1982;1,461,000,000 ;-
11/1982;1,706,000,000 ;-
12/1982;1,944,000,000 ;-
01/1983;2,059,000,000 ;-
02/1983;2,163,000,000 ;-
03/1983;2,072,000,000 ;-
04/1983;2,174,000,000 ;-
05/1983;2,292,000,000 ;-
06/1983;2,361,000,000 ;-
07/1983;2,662,000,000 ;-
08/1983;2,350,000,000 ;-
09/1983;2,669,000,000 ;-
10/1983;2,821,000,000 ;-
11/1983;3,189,000,000 ;-
12/1983;3,495,000,000 ;-
01/1984;3,784,000,000 ;-
02/1984;3,744,000,000 ;-
03/1984;3,539,000,000 ;-
04/1984;4,179,000,000 ;-
05/1984;4,435,000,000 ;-
06/1984;5,782,000,000 ;-
07/1984;6,391,000,000 ;-
08/1984;7,015,000,000 ;-
09/1984;7,743,000,000 ;-
10/1984;8,229,000,000 ;-
11/1984;9,427,000,000 ;-
12/1984;12,725,000,000 ;-
01/1985;13,269,000,000 ;-
02/1985;15,069,000,000 ;-
03/1985;14,427,000,000 ;-
04/1985;14,602,000,000 ;-
05/1985;16,532,000,000 ;-
06/1985;17,829,000,000 ;-
07/1985;19,626,000,000 ;-
08/1985;22,377,000,000 ;-
09/1985;25,763,000,000 ;-
10/1985;26,817,000,000 ;-
11/1985;32,106,000,000 ;-
12/1985;45,468,000,000 ;-
01/1986;45,941,000,000 ;-
02/1986;51,535,000,000 ;-
03/1986;70,029,000 ;-
04/1986;94,782,000 ;-
05/1986;109,024,000 ;-
06/1986;120,553,000 ;-
07/1986;137,558,000 ;-
08/1986;145,798,000 ;-
09/1986;149,852,000 ;-
10/1986;157,605,000 ;-
11/1986;172,456,000 ;-
12/1986;178,895,000 ;-
01/1987;172,444,000 ;-
02/1987;164,309,000 ;-
03/1987;169,213,000 ;-
04/1987;187,023,000 ;-
05/1987;184,563,000 ;-
06/1987;170,057,000 ;-
07/1987;219,014,000 ;-
08/1987;271,299,000 ;-
09/1987;324,931,000 ;-
10/1987;373,186,000 ;-
11/1987;389,235,000 ;-
12/1987;503,531,000 ;-
01/1988;505,379,000 ;-
02/1988;469,509,000 ;-
03/1988;675,373,000 ;-
04/1988;726,125,000 ;-
05/1988;837,455,000 ;-
06/1988;911,031,000 ;-
07/1988;1,003,891,000 ;-
08/1988;1,083,191,000 ;-
09/1988;1,426,396,000 ;-
10/1988;1,850,104,000 ;-
11/1988;2,197,172,000 ;-
12/1988;3,637,152,000 ;-
01/1989;4,117,000 ;-
02/1989;4,925,000 ;-
03/1989;5,773,000 ;-
04/1989;6,549,000 ;-
05/1989;8,748,000 ;-
06/1989;10,138,000 ;-
07/1989;11,020,000 ;-
08/1989;13,027,000 ;-
09/1989;17,238,000 ;-
10/1989;22,317,000 ;-
11/1989;36,116,000 ;-
12/1989;67,436,000 ;-
01/1990;80,300,000 ;-
02/1990;140,004,000 ;-
03/1990;342,362,000 ;-
04/1990;582,095,000 ;-
05/1990;921,528,000 ;-
06/1990;836,766,000 ;-
07/1990;761,582,000 ;-
08/1990;781,612,000 ;-
09/1990;921,385,000 ;-
10/1990;919,840,000 ;-
11/1990;1,026,263,000 ;-
12/1990;1,621,271,000 ;-
01/1991;1,309,126,000 ;-
02/1991;1,812,081,000 ;-
03/1991;2,023,811,000 ;-
04/1991;2,027,009,000 ;-
05/1991;2,249,493,000 ;-
06/1991;2,474,855,000 ;-
07/1991;2,571,339,000 ;-
08/1991;2,812,154,000 ;-
09/1991;3,209,976,000 ;-
10/1991;3,478,608,000 ;-
11/1991;4,446,288,000 ;-
12/1991;6,342,169,000 ;-
01/1992;5,723,211,000 ;-
02/1992;8,145,480,000 ;-
03/1992;8,375,663,000 ;-
04/1992;11,041,319,000 ;-
05/1992;12,099,824,000 ;-
06/1992;13,900,962,000 ;-
07/1992;16,742,986,000 ;-
08/1992;20,404,046,000 ;-
09/1992;25,421,278,000 ;-
10/1992;32,047,929,000 ;-
11/1992;42,501,088,000 ;-
12/1992;69,210,235,000 ;-
01/1993;63,437,349,000 ;-
02/1993;77,070,830,000 ;-
03/1993;93,649,340,000 ;-
04/1993;117,291,220,000 ;-
05/1993;147,360,333,000 ;-
06/1993;175,947,517,000 ;-
07/1993;242,139,295,000 ;-
08/1993;303,609,972 ;-
09/1993;382,364,042 ;-
10/1993;559,484,940 ;-
11/1993;788,618,000 ;-
12/1993;1,421,004,971 ;-
01/1994;1,561,857,084 ;-
02/1994;2,128,576,967 ;-
03/1994;2,845,092,044 ;-
04/1994;4,296,644,996 ;-
05/1994;6,280,570,977 ;-
06/1994;8,737,628,286 ;-
07/1994;7,533,465 ;73,257,983
08/1994;9,414,282 ;75,908,524
09/1994;12,788,598 ;77,534,126
10/1994;12,999,423 ;79,294,723
11/1994;13,255,532 ;80,179,971
12/1994;17,684,551 ;80,733,837
01/1995;16,736,801 ;80,362,898
02/1995;15,821,058 ;81,448,640
03/1995;15,582,104 ;80,182,148
04/1995;13,827,961 ;79,298,549
05/1995;13,812,206 ;81,912,022
06/1995;13,943,397 ;82,385,098
07/1995;15,033,623 ;95,930,319
08/1995;15,613,676 ;105,729,269
09/1995;13,454,019 ;106,599,065
10/1995;15,352,196 ;110,527,504
11/1995;15,559,017 ;117,236,017
12/1995;21,681,591 ;122,290,591
01/1996;22,433,703 ;129,288,703
02/1996;17,007,151 ;134,166,151
03/1996;16,185,537 ;137,652,537
04/1996;15,001,636 ;140,362,636
05/1996;16,271,648 ;154,240,648
06/1996;16,806,685 ;157,431,685
07/1996;18,748,145 ;161,229,145
08/1996;15,686,504 ;162,696,504
09/1996;20,638,304 ;165,105,304
10/1996;15,564,832 ;168,394,832
11/1996;15,668,464 ;177,545,464
12/1996;19,795,697 ;184,049,697
01/1997;23,859,941 ;186,151,941
02/1997;20,285,377 ;187,970,377
03/1997;22,324,340 ;194,176,340
04/1997;27,291,306 ;195,465,306
05/1997;21,740,103 ;200,917,103
06/1997;24,688,145 ;203,227,145
07/1997;24,215,769 ;207,600,769
08/1997;21,867,701 ;212,252,701
09/1997;24,700,091 ;223,991,091
10/1997;26,147,409 ;220,885,409
11/1997;22,972,423 ;219,841,423
12/1997;31,828,332 ;280,070,332
01/1998;30,564,327 ;284,954,327
02/1998;29,091,028 ;294,237,028
03/1998;29,985,079 ;310,723,079
04/1998;30,655,275 ;315,875,275
05/1998;31,099,191 ;319,194,191
06/1998;37,221,147 ;340,000,147
07/1998;32,985,867 ;344,324,867
08/1998;35,412,822 ;341,816,822
09/1998;32,002,091 ;322,226,091
10/1998;32,826,436 ;329,872,436
11/1998;39,737,748 ;350,965,748
12/1998;39,184,378 ;352,345,378
01/1999;39,635,374 ;388,339,374
02/1999;37,856,112 ;401,758,112
03/1999;37,232,284 ;388,041,284
04/1999;36,351,614 ;385,585,614
05/1999;40,434,992 ;396,540,992
06/1999;33,177,584 ;400,754,584
07/1999;41,162,443 ;406,921,443
08/1999;33,870,441 ;412,802,441
09/1999;35,970,589 ;414,873,589
10/1999;35,849,684 ;424,308,684
11/1999;37,337,401 ;428,009,401
12/1999;48,430,157 ;447,132,157
01/2000;41,892,638 ;459,687,638
02/2000;41,920,442 ;466,098,442
03/2000;39,093,507 ;469,498,507
04/2000;37,720,874 ;476,458,874
05/2000;35,875,831 ;495,552,831
06/2000;32,316,217 ;501,909,217
07/2000;36,452,164 ;509,253,164
08/2000;39,122,151 ;514,725,151
09/2000;37,521,173 ;521,260,173
10/2000;38,636,085 ;532,454,134
11/2000;40,730,882 ;534,526,930
12/2000;47,686,213 ;538,693,251
01/2001;42,363,820 ;550,900,890
02/2001;47,891,196 ;556,802,220
03/2001;41,367,748 ;565,271,800
04/2001;40,910,723 ;568,064,742
05/2001;41,452,767 ;576,214,784
06/2001;41,974,056 ;593,815,083
07/2001;41,594,145 ;630,565,163
08/2001;42,629,109 ;638,087,146
09/2001;45,482,012 ;646,223,040
10/2001;43,074,939 ;654,117,975
11/2001;46,234,267 ;643,326,297
12/2001;53,255,971 ;646,671,997
01/2002;49,722,831 ;662,983,858
02/2002;47,891,206 ;661,879,223
03/2002;48,854,685 ;666,378,702
04/2002;46,745,596 ;675,433,596
05/2002;51,513,188 ;688,724,188
06/2002;50,692,546 ;715,391,546
07/2002;52,432,527 ;742,998,527
08/2002;54,985,471 ;718,834,471
09/2002;60,769,701 ;772,667,701
10/2002;60,640,131 ;775,428,131
11/2002;60,558,939 ;779,852,939
12/2002;73,302,272 ;788,034,272
01/2003;64,370,257 ;815,985,257
02/2003;67,494,433 ;813,446,433
03/2003;66,032,455 ;810,209,455
04/2003;68,228,788 ;788,601,788
05/2003;65,113,594 ;797,350,594
06/2003;63,837,941 ;804,490,941
07/2003;67,841,206 ;825,918,206
08/2003;58,430,020 ;836,086,020
09/2003;56,110,109 ;847,299,109
10/2003;57,710,438 ;853,375,438
11/2003;62,417,367 ;869,016,367
12/2003;73,219,136 ;886,894,136
01/2004;68,899,768 ;908,470,768
02/2004;68,868,993 ;910,172,993
03/2004;63,122,628 ;916,848,628
04/2004;65,612,983 ;919,830,983
05/2004;66,822,153 ;929,457,452
06/2004;67,992,270 ;936,306,270
07/2004;73,110,428 ;944,013,908
08/2004;72,201,284 ;946,295,563
09/2004;70,955,261 ;950,388,261
10/2004;71,672,482 ;957,551,482
11/2004;75,097,601 ;963,894,140
12/2004;88,732,677 ;979,232,641
01/2005;83,471,335 ;1,000,476,258
02/2005;79,115,881 ;1,013,322,881
03/2005;78,276,441 ;1,032,176,441
04/2005;77,791,974 ;1,032,254,975
05/2005;79,731,164 ;1,040,007,165
06/2005;78,494,175 ;1,053,449,725
07/2005;80,283,576 ;1,070,921,944
08/2005;79,820,054 ;1,083,851,842
09/2005;80,105,571 ;1,096,063,880
10/2005;79,886,962 ;1,113,987,962
11/2005;85,515,270 ;1,128,453,279
12/2005;101,247,235 ;1,154,051,235
01/2006;92,843,062 ;1,184,201,540
02/2006;94,627,238 ;1,195,729,739
03/2006;88,735,299 ;1,207,808,299
04/2006;88,912,726 ;1,217,532,527
05/2006;86,158,927 ;1,228,086,114
06/2006;94,634,877 ;1,237,347,877
07/2006;94,592,008 ;1,259,365,604
08/2006;99,860,904 ;1,272,712,904
09/2006;100,371,553 ;1,290,804,553
10/2006;99,861,933 ;1,307,086,933
11/2006;105,335,008 ;1,319,005,008
12/2006;121,102,001 ;1,336,845,001
01/2007;109,695,597 ;1,360,641,597
02/2007;105,136,740 ;1,387,365,740
03/2007;107,235,704 ;1,419,765,704
04/2007;114,406,238 ;1,446,759,238
05/2007;108,250,652 ;1,486,353,652
06/2007;115,604,131 ;1,517,380,131
07/2007;115,812,081 ;1,545,450,081
08/2007;114,488,378 ;1,558,519,378
09/2007;120,340,059 ;1,571,460,059
10/2007;122,966,586 ;1,584,837,586
11/2007;130,847,477 ;1,604,003,477
12/2007;146,616,867 ;1,616,617,867
01/2008;130,588,119 ;1,649,004,119
02/2008;126,329,185 ;1,655,142,185
03/2008;128,876,813 ;1,673,663,813
04/2008;124,683,915 ;1,684,429,915
05/2008;133,158,742 ;1,693,623,742
06/2008;132,793,112 ;1,713,669,112
07/2008;129,092,191 ;1,740,766,191
08/2008;132,071,158 ;1,746,455,158
09/2008;136,936,175 ;1,760,132,524
10/2008;132,774,206 ;1,754,543,845
11/2008;132,318,760 ;1,744,788,634
12/2008;147,549,705 ;1,768,289,010
01/2009;137,537,875 ;1,792,903,342
02/2009;136,267,906 ;1,801,734,779
03/2009;135,056,365 ;1,824,943,418
04/2009;144,762,552 ;1,830,551,389
05/2009;133,322,920 ;1,844,543,204
06/2009;139,185,835 ;1,899,305,177
07/2009;135,545,843 ;1,947,730,655
08/2009;137,018,961 ;1,991,717,884
09/2009;145,698,459 ;2,019,440,180
10/2009;147,453,941 ;2,037,576,914
11/2009;156,868,063 ;2,043,611,689
12/2009;166,072,835 ;2,051,350,659
01/2010;155,650,325 ;2,081,788,325
02/2010;154,334,418 ;2,085,594,418
03/2010;156,710,266 ;2,112,786,266
04/2010;154,627,326 ;2,197,574,326
05/2010;158,687,309 ;2,222,351,309
06/2010;159,627,969 ;2,247,707,969
07/2010;162,528,341 ;2,274,556,341
08/2010;173,242,650 ;2,299,463,650
09/2010;176,001,728 ;2,334,180,728
10/2010;177,434,730 ;2,368,682,730
11/2010;178,485,518 ;2,388,442,518
12/2010;206,853,322 ;2,396,804,322
01/2011;193,547,227 ;2,449,667,227
02/2011;185,606,930 ;2,470,812,930
03/2011;179,918,782 ;2,500,937,782
04/2011;172,725,439 ;2,524,735,439
05/2011;178,297,658 ;2,541,787,658
06/2011;190,510,862 ;2,593,216,862
07/2011;182,099,198 ;2,619,923,198
08/2011;179,285,432 ;2,626,880,432
09/2011;188,504,749 ;2,641,205,749
10/2011;188,069,133 ;2,659,288,133
11/2011;182,670,915 ;2,664,392,915
12/2011;214,235,311 ;2,686,447,311
01/2012;212,136,241 ;2,725,937,241
02/2012;191,488,769 ;2,729,225,769
03/2012;201,956,126 ;2,761,932,126
04/2012;193,183,934 ;2,785,629,934
05/2012;191,663,053 ;2,796,125,053
06/2012;198,858,463 ;2,824,864,463
07/2012;203,627,550 ;2,841,988,550
08/2012;203,575,297 ;2,852,766,297
09/2012;202,200,005 ;2,889,430,005
10/2012;204,756,960 ;2,925,464,960
11/2012;209,024,611 ;2,941,513,611
12/2012;233,371,452 ;2,923,764,452
01/2013;216,463,907 ;2,955,479,907
02/2013;205,022,593 ;2,960,879,593
03/2013;207,717,486 ;2,983,465,486
04/2013;209,621,828 ;3,004,661,828
05/2013;201,046,331 ;3,011,630,331
06/2013;214,567,507 ;3,033,273,507
07/2013;210,471,469 ;3,055,293,469
08/2013;209,608,119 ;3,070,684,119
09/2013;229,574,843 ;3,090,260,843
10/2013;211,135,082 ;3,105,168,082
11/2013;215,546,803 ;3,102,297,803
12/2013;249,509,778 ;3,104,578,778
01/2014;222,947,119 ;3,165,756,119
02/2014;224,671,134 ;3,161,381,134
03/2014;228,014,047 ;3,187,556,047
04/2014;222,462,991 ;3,206,895,991
05/2014;214,771,855 ;3,231,017,855
06/2014;222,858,595 ;3,291,871,595
07/2014;223,594,688 ;3,340,839,688
08/2014;231,344,899 ;3,348,302,899
09/2014;238,409,382 ;3,414,215,382
